Name,decScore,pBat_speed,smash_factor,95th_pBat_speed,std_pBat_speed,conScore,xRV,std_EV,EV95,count,sprint_speed,decGrade,powGrade,altPowGrade,conGrade,SFGrade,speedGrade,95thPowGrade,EV95Grade,stdEVGrade,decScore_bayes,decScore_ci_lower,decScore_ci_upper,decScore_bayes_grade,decScore_ci_lower_grade,decScore_ci_upper_grade,95th_pBat_speed_bayes,95th_pBat_speed_ci_lower,95th_pBat_speed_ci_upper,95th_pBat_speed_bayes_grade,95th_pBat_speed_ci_lower_grade,95th_pBat_speed_ci_upper_grade,smash_factor_bayes,smash_factor_ci_lower,smash_factor_ci_upper,smash_factor_bayes_grade,smash_factor_ci_lower_grade,smash_factor_ci_upper_grade,conScore_bayes,conScore_ci_lower,conScore_ci_upper,conScore_bayes_grade,conScore_ci_lower_grade,conScore_ci_upper_grade,IDfg
Bo Bichette,-0.48394942689023557,71.20553266098736,0.41600919052511887,79.93636797321241,0.7106392573434464,-0.08307210031347963,0.0007837535236161461,2.3442664324651723,105.55499999999999,1138,4.51,39.39802981120348,34.297612147377116,69.41073938190107,60.8370691613156,50.72593329907436,52.3118393232354,45.25103501785519,52.64015857270592,51.117171951333916,-0.4739023786109034,-0.5008331966975772,-0.44576071754048774,38.9856640061614,42.170611938230394,38.34723825112492,79.93596671871761,79.9350170905224,79.93786597510801,50.50995153641063,50.51860765352245,50.5110375860346,0.4136427437706953,0.3746597254868176,0.45057787366442564,53.011433120189864,54.595013794104176,50.326700341921004,-0.08927969115329965,-0.11990855465429154,-0.05850357350086066,63.10092342776586,63.49390394729424,60.337768235037075,19612
Ernie Clement,-0.48413752275587524,72.07507754020234,0.5291019471398708,79.96034038728818,0.5150133798633234,-0.03225806451612903,-0.0077650958784201436,2.3469438926951507,101.2,1420,4.29,39.33591199634596,51.58907683813599,41.780712580408725,69.76073886431247,71.84497156536634,40.71594684478466,46.04285513404832,36.12275426945314,51.19906553359679,-0.4760317921340358,-0.5001233921898663,-0.4505623362691195,37.90622214607325,42.49044332417899,36.09664151205432,79.96065705179295,79.95875779540253,79.96255630818337,50.769958446069886,50.7686091008483,50.7710369889168,0.5145743858565326,0.4823201437117107,0.5505587104262659,74.57092390194279,74.65471338522474,70.98730482347038,-0.04009680456997611,-0.06630804352755572,-0.013370176082331736,72.76581634605851,72.34598166111982,69.35028127078925,20352
Yainer Diaz,-0.48436326569579213,71.7441249720231,0.4365689776761717,79.87555989848363,0.5503664600647004,-0.1064516129032258,0.0047547842402857355,2.13343501045151,106.1,2101,4.42,39.261361404287705,45.007870066895286,46.773950520407766,56.73129317060341,54.56528556695661,47.568065127505555,43.24251569873126,54.70720457621288,44.66862036914517,-0.47820295886350406,-0.5013342351736083,-0.457242849282868,36.805614759316725,41.9448486069726,32.9653764837822,79.87519051422444,79.87424088602923,79.87708977061484,49.86993452801843,49.87860394836819,49.8710390558632,0.43353651670355603,0.40442724601503194,0.4609635933573162,57.26083999891219,60.14141171094254,52.47286408470083,-0.10901174744720787,-0.1338976990417638,-0.08353677924686366,59.22339153839098,61.18360893956504,55.338984495794435,23003
Ryan Mountcastle,-0.4849173389808629,71.41604586523191,0.37982541180043317,80.0170556108333,0.6010300374872077,-0.15311909262759923,-0.0009658567818247784,2.5353273328477086,107.2,1870,4.46,39.078381190328855,38.483803941663055,53.929629616010004,48.535817877272635,43.96894345834747,49.6764092144966,47.916185652846494,58.879224032832454,56.96101657225749,-0.47799419283182437,-0.5024198185383424,-0.4551134357597357,36.91144239265872,41.45569472258071,33.96346721154394,80.01668511531008,80.01478585891968,80.0185843717005,51.3599741256814,51.35861251653748,51.3610356339185,0.3816079182391035,0.35213295319519594,0.4107903277987043,46.168638219894376,50.39773969487514,42.10477727098987,-0.15348250118422496,-0.18006187552042227,-0.12844929543822198,50.48447638472517,53.55963541405867,46.37057837538852,18373
Nick Castellanos,-0.4849331072758417,71.61074590994471,0.3885035929785811,79.8369701587519,0.5618152918544617,-0.1915204678362573,0.002602454824826288,2.526234511255995,104.49,2343,4.49,39.073173781730155,42.355540788046405,48.39097344841495,41.791988478058,45.58951444688074,51.2576672797399,41.9678784385178,48.6008851897061,56.682900869665474,-0.4790797761965585,-0.4999563793645227,-0.45832843264760215,36.36113869928046,42.56569776793156,32.45654591668798,79.83720538641622,79.8353061300258,79.83910464280662,49.46992389777332,49.46860157475381,49.4710399745061,0.38921436083107963,0.36332320046993005,0.41678771522699315,47.79341143822938,52.48274923118047,43.34411126329934,-0.1897806495159293,-0.2134885678989086,-0.16636723943584414,43.351553916584045,48.03924629032679,38.798891240947455,11737
Anthony Volpe,-0.4849345074557322,71.56370943297632,0.4083152642779153,79.74458866060624,0.5921472425431054,-0.1321554770318021,-0.004164292042169043,2.466134895313309,102.98999999999998,2996,4.31,39.07271137860977,41.42018989343724,52.675031474193894,52.217327885718795,49.28916291963943,41.77011888828016,38.91647408831014,42.911767748861216,54.84467642582034,-0.4803323723866364,-0.49903780882513227,-0.46162693594814047,35.7261728992286,42.97959720857088,30.910483808978622,79.74414182328606,79.74319219509086,79.74604107967647,48.48989785367278,48.49859595912951,48.49104222518132,0.40764535634240645,0.3810228072704899,0.43302454460601913,51.730361928810346,55.78060745200328,46.699381340039615,-0.13323505536025196,-0.1554704322287605,-0.11247222000621418,54.46328709210613,57.62089084869843,49.560978585434555,27647
Alex Call,-0.48532448635748665,71.84642533039542,0.4237899176081947,79.5364379432654,0.3515087378553716,-0.107981220657277,0.000961277510668049,2.8273090511276333,101.975,493,4.32,38.94392259776582,47.04217913699628,18.68746081310537,56.462672224478766,52.178912940969646,42.29720491002796,32.04115795746256,39.062131613889605,65.89165486801485,-0.46805692972387347,-0.5051337769501778,-0.43235793830665475,41.94883773973664,40.23281001160088,44.629338714095894,79.53617324853602,79.5342739921456,79.53807250492642,46.29983965308083,46.298583222661776,46.301047254751055,0.4164220208716097,0.35864231272102165,0.47603020079911507,53.60510025765842,51.61058837939262,55.58631289464901,-0.11755248823113831,-0.16776615387459137,-0.07138831175247985,57.545056840004825,55.59026313137855,57.76486483983866,19296
Tyler Nevin,-0.48533367421788015,71.53676819136292,0.39777094233334076,79.98314341531147,0.5334660078424717,-0.14147286821705427,-0.00038413841161501135,1.9222733730234443,103.355,1090,4.66,38.94088834813508,40.88444580567505,44.38694551947191,50.5810610526258,47.320107205504286,60.21812964945184,46.79604987871967,44.29611965946688,38.20996872164038,-0.474737442737622,-0.502085792887655,-0.44630350922285483,38.562353472793504,41.606203610085906,38.0928229675778,79.98344812847789,79.98154887208747,79.9853473848683,51.009964824216986,51.008610490281164,51.011036437731086,0.39821044197351296,0.35710639642841113,0.4396070430029216,49.71501822529866,51.324410599899736,48.059625965745134,-0.14324833765865314,-0.18065089212621055,-0.10599303734254281,52.49558434227409,53.462359834785865,50.85478143559148,17893
Kameron Misner,-0.4857089102736129,74.41972430476206,0.1473923740954466,79.17685173212882,0.6201606056484071,-0.2857142857142857,-0.03650203498254351,8.909545442950495,94.28999999999999,65,4.473770161290323,38.816968325977214,98.21390059454464,56.63161422985755,25.250210096983352,0.5641988524334991,50.402215167830754,20.16385621456559,9.914886591961256,251.92471736471242,-0.455530967823095,-0.5027955973953658,-0.40860036390151155,48.29849574025504,41.28637222413731,55.76489997088866,79.17721379074827,79.17531453435785,79.17911304713867,42.51973919726453,42.51856133909459,42.521055935926405,0.28894096858493257,0.2111212097593305,0.3686623380585287,26.374526031140043,24.12389403476614,33.39921166647455,-0.19434552821078868,-0.28321340860909927,-0.10179629402630114,42.45451295710179,36.52424959390808,51.692812827170386,-1
Grae Kessinger,-0.4857111770257038,73.38227807254971,0.28999093321252495,79.99483727583625,0.40456645203742025,-0.3076923076923077,-0.014688105713939506,1.4773286702694202,96.32000000000001,115,4.473770161290323,38.81621974127955,77.58360844785784,26.181285677992584,21.390555854221944,27.193175958106472,50.402215167830754,47.18230359393603,17.61415886190464,24.60075981185544,-0.4579109005842429,-0.5022528057129987,-0.4136525018681589,47.09206072015655,41.53094916633331,53.39688079325786,79.99484366682036,79.99294441042994,79.99674292321076,51.12996801329053,51.1286111849976,51.13103616213808,0.35593617449118403,0.2737280834009803,0.4345604608986297,40.68502860801374,35.78904542742865,47.01677175270424,-0.21709629460936197,-0.3022091941457722,-0.1333086824359755,37.98377656226283,33.38711216236,45.40022623777083,25813
