batter,decScore_bayes,decScore_bayes_grade,decScore_ci_lower_grade,decScore_ci_upper_grade,95th_pBat_speed_bayes,95th_pBat_speed_bayes_grade,95th_pBat_speed_ci_lower_grade,95th_pBat_speed_ci_upper_grade,smash_factor_bayes,smash_factor_bayes_grade,smash_factor_ci_lower_grade,smash_factor_ci_upper_grade,conScore_bayes,conScore_bayes_grade,conScore_ci_lower_grade,conScore_ci_upper_grade
518792,-0.46392336229661657,,,,80.1192449603923,,,,0.38029141855972304,,,,-0.15723748204612542,,,
518934,-0.45227421772889254,,,,79.87614014241964,,,,0.4893414753350733,,,,-0.09244565540941178,,,
519203,-0.42112632580229004,,,,79.90367936008062,,,,0.42146860297590155,,,,-0.10783371423563126,,,
519317,-0.4501448042057602,,,,80.9558674003685,,,,0.37999886307541625,,,,-0.22490076463605702,,,
521692,-0.5026285845700221,,,,80.42502523924853,,,,0.39645510906767234,,,,-0.1385362048123467,,,
527038,-0.4663450482641004,,,,79.86474460407717,,,,0.45408853947610694,,,,-0.05482221971468375,,,
541645,-0.47131367981807587,,,,79.50198663350861,,,,0.3792674743646493,,,,-0.16349578348262617,,,
542194,-0.48233652629076096,,,,80.20756038254643,,,,0.3810228072704899,,,,-0.16533646037571462,,,
542303,-0.46647030788310817,,,,80.5541746737965,,,,0.3724655593545168,,,,-0.19081142857605884,,,
542364,-0.4532762946809548,,,,80.64249009595063,,,,0.4048660792414921,,,,-0.1967015946339419,,,
542932,-0.4226294412303835,,,,79.34719723769008,,,,0.45964709367793566,,,,-0.15127368891251883,,,
542963,-0.45920524998065665,,,,80.90458747782739,,,,0.3896531940575398,,,,-0.11239859293049065,,,
543063,-0.4524829837605722,,,,79.58555391468671,,,,0.3340676520392526,,,,-0.20450606466063695,,,
543228,-0.4866788597496975,,,,79.71185446464906,,,,0.32185346056944475,,,,-0.21415121158042044,,,
543257,-0.4043832900615828,,,,79.57035986356341,,,,0.43872937655000127,,,,-0.10960076405299618,,,
543305,-0.4561990191244698,,,,80.19616484420396,,,,0.35827661836563823,,,,-0.15981442969644924,,,
543309,-0.4766998434354106,,,,80.3196165095807,,,,0.4128382161888517,,,,-0.16364303763407323,,,
543510,-0.4627960257255465,,,,79.80586765597442,,,,0.3896531940575398,,,,-0.16003531092361986,,,
543685,-0.4698523175963184,,,,80.01193697433406,,,,0.47434800676435107,,,,-0.058356319349413585,,,
543760,-0.4698523175963184,,,,80.09645388370737,,,,0.45145554011734595,,,,-0.11527004888370862,,,
543807,-0.4610423910594375,,,,80.02903028184775,,,,0.41700713184022326,,,,-0.15996168384789633,,,
543877,-0.46596926940707706,,,,79.97869998750186,,,,0.4418012091352224,,,,-0.08552471029139919,,,
545121,-0.4443411085250662,,,,79.70615669547783,,,,0.5356383807266204,,,,-0.059018963030925436,,,
545341,-0.4599985609010393,,,,80.47440590539922,,,,0.44728662446597445,,,,-0.119834927578568,,,
545361,-0.46763939766051416,,,,80.78303506884107,,,,0.3843140564689412,,,,-0.10393147922228374,,,
547180,-0.43160638059260803,,,,80.2521929077211,,,,0.3593005625607119,,,,-0.15922541309066093,,,
547989,-0.49177275092268075,,,,79.900830475495,,,,0.38943377744430974,,,,-0.1560594488345488,,,
553869,-0.47836997168884776,,,,79.99674292321076,,,,0.39601627584121213,,,,-0.1604770733779611,,,
553882,-0.4604578461707345,,,,79.84005427100183,,,,0.40859616166640345,,,,-0.11342937199062017,,,
553993,-0.4721069907384585,,,,80.49909623847458,,,,0.3737820590338973,,,,-0.18911800583441746,,,
570482,-0.49490424139787537,,,,79.48964146697094,,,,0.43119607282910183,,,,-0.10186992110202467,,,
571448,-0.462503753281195,,,,80.13253975512518,,,,0.46454739804007417,,,,-0.08103345867226336,,,
571466,-0.42166911748465713,,,,79.11263907347428,,,,0.37875550226711246,,,,-0.17041672860063875,,,
571657,-0.46271251931287466,,,,79.92552080857034,,,,0.429001906696801,,,,-0.10937988282582557,,,
571745,-0.44922623366636977,,,,80.2512432795259,,,,0.37626878065050484,,,,-0.21797981951804443,,,
571771,-0.4715224458497555,,,,79.99959180779638,,,,0.43551126622262676,,,,-0.14847586003502436,,,
571912,-0.45369382674431413,,,,80.0860079735601,,,,0.3430637331816859,,,,-0.1916949534847413,,,
571970,-0.40480082212494206,,,,80.80012837635478,,,,0.3760493640372748,,,,-0.2217348003799449,,,
572138,-0.3992058924759277,,,,80.31012022762864,,,,0.4139352992550021,,,,-0.2073038935381314,,,
